,gisjoin,year,state,blkgrpa,geoid,white_g3,black_g3,native_g3,asian_g3,hawaiianpacific_g3,other_g3,multiracial_g3,white_nhl_g3,hispanic_latino_g3
0,G27000107701001,2010-2014,Minnesota,1,15000US270017701001,6,0,3,0,0,0,0,6,0
1,G27000107701002,2010-2014,Minnesota,2,15000US270017701002,5,0,0,0,0,0,0,5,0
2,G27000107701003,2010-2014,Minnesota,3,15000US270017701003,5,0,0,0,0,0,0,5,0
3,G27000107702001,2010-2014,Minnesota,1,15000US270017702001,7,0,1,0,0,0,0,7,0
4,G27000107702002,2010-2014,Minnesota,2,15000US270017702002,1,0,0,0,0,0,0,1,0
5,G27000107702003,2010-2014,Minnesota,3,15000US270017702003,6,0,0,0,0,0,0,6,0
6,G27000107703001,2010-2014,Minnesota,1,15000US270017703001,29,0,0,0,0,0,0,29,0
7,G27000107703002,2010-2014,Minnesota,2,15000US270017703002,10,0,0,0,0,0,0,10,0
8,G27000107703003,2010-2014,Minnesota,3,15000US270017703003,25,0,0,0,0,0,0,25,0
9,G27000107704001,2010-2014,Minnesota,1,15000US270017704001,6,0,2,0,0,0,0,6,0
10,G27000107704002,2010-2014,Minnesota,2,15000US270017704002,0,0,0,0,0,0,0,0,0
11,G27000107704003,2010-2014,Minnesota,3,15000US270017704003,0,0,0,0,0,0,0,0,0
12,G27000107905011,2010-2014,Minnesota,1,15000US270017905011,5,0,0,0,0,0,0,5,0
13,G27000107905012,2010-2014,Minnesota,2,15000US270017905012,7,0,0,0,0,0,0,7,0
14,G27000107905021,2010-2014,Minnesota,1,15000US270017905021,6,0,0,0,0,0,0,6,0
15,G27000107905022,2010-2014,Minnesota,2,15000US270017905022,15,0,0,0,0,0,0,15,0
16,G27000107905023,2010-2014,Minnesota,3,15000US270017905023,26,0,0,0,0,0,0,26,0
17,G27000300501071,2010-2014,Minnesota,1,15000US270030501071,48,0,0,0,0,0,13,48,0
18,G27000300501081,2010-2014,Minnesota,1,15000US270030501081,81,0,0,0,0,0,0,81,0
19,G27000300501082,2010-2014,Minnesota,2,15000US270030501082,66,0,0,0,0,0,0,66,0
20,G27000300501091,2010-2014,Minnesota,1,15000US270030501091,31,0,0,0,0,0,0,31,0
